,start station id,start station name,start station latitude,start station longitude
573,3223,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727
582,411,E 6 St & Avenue D,40.72228087,-73.97668709
587,369,Washington Pl & 6 Ave,40.73224119,-74.00026394
589,2009,Catherine St & Monroe St,40.71117444,-73.99682619
593,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
598,323,Lawrence St & Willoughby St,40.69236178,-73.98631746
601,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
615,174,E 25 St & 1 Ave,40.7381765,-73.97738662
619,546,E 30 St & Park Ave S,40.74444921,-73.98303529
620,530,11 Ave & W 59 St,40.771522,-73.99054100000001
623,475,E 16 St & Irving Pl,40.73524276,-73.98758561
638,431,Hanover Pl & Livingston St,40.68864636,-73.98263429
639,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896
650,340,Madison St & Clinton St,40.71269042,-73.98776323
660,351,Front St & Maiden Ln,40.70530954,-74.00612572
667,305,E 58 St & 3 Ave,40.76095756,-73.96724467
669,466,W 25 St & 6 Ave,40.74395411,-73.99144871
684,491,E 24 St & Park Ave S,40.74096374,-73.98602213
686,238,Bank St & Washington St,40.7361967,-74.00859207
689,448,W 37 St & 10 Ave,40.75660359,-73.9979009
690,164,E 47 St & 2 Ave,40.75323098,-73.97032517
699,363,West Thames St,40.70834698,-74.01713445
704,254,W 11 St & 6 Ave,40.73532427,-73.99800419
718,514,12 Ave & W 40 St,40.76087502,-74.00277668
720,291,Madison St & Montgomery St,40.713126,-73.984844
736,329,Greenwich St & N Moore St,40.72043411,-74.01020609
738,467,Dean St & 4 Ave,40.68312489,-73.97895137
744,502,Henry St & Grand St,40.714215,-73.981346
749,147,Greenwich St & Warren St,40.71542197,-74.01121978
755,237,E 11 St & 2 Ave,40.73047309,-73.98672378
771,385,E 55 St & 2 Ave,40.75797322,-73.96603308
805,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874
809,422,W 59 St & 10 Ave,40.770513,-73.988038
811,485,W 37 St & 5 Ave,40.75038009,-73.98338988
832,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625
834,2022,E 60 St & York Ave,40.759107,-73.959223
836,418,Front St & Gold St,40.70224,-73.982578
837,462,W 22 St & 10 Ave,40.74691959,-74.00451887
844,441,E 52 St & 2 Ave,40.756014,-73.967416
849,388,W 26 St & 10 Ave,40.749717753,-74.002950346
851,279,Peck Slip & Front St,40.707873,-74.00166999999999
853,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628
863,511,E 14 St & Avenue B,40.72938685,-73.97772429
870,278,Concord St & Bridge St,40.69766564,-73.98476437
879,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
910,311,Norfolk St & Broome St,40.7172274,-73.98802084
917,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772
937,195,Liberty St & Broadway,40.70905623,-74.01043382
948,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
956,144,Nassau St & Navy St,40.69839895,-73.98068914
966,302,Avenue D & E 3 St,40.72082834,-73.97793172
972,143,Clinton St & Joralemon St,40.69239502,-73.99337909
984,3111,Norman Ave & Leonard St,40.725848299999996,-73.95064893
989,319,Fulton St & Broadway,40.711065999999995,-74.009447
1010,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168
1013,313,Washington Ave & Park Ave,40.69610226,-73.96751037
1021,3106,Driggs Ave & N Henry St,40.72325,-73.94308000000001
1032,82,St James Pl & Pearl St,40.71117416,-74.00016545
1047,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848
1080,267,Broadway & W 36 St,40.75097711,-73.98765428
1083,440,E 45 St & 3 Ave,40.75255434,-73.97282625
1128,3097,N Henry St & Richardson St,40.71921585,-73.94244690000001
1137,276,Duane St & Greenwich St,40.71748752,-74.0104554
1151,339,Avenue D & E 12 St,40.72580614,-73.97422494
1157,315,South St & Gouverneur Ln,40.70355377,-74.00670227
1184,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
1215,525,W 34 St & 11 Ave,40.75594159,-74.0021163
1223,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999
1245,3115,India St & Manhattan Ave,40.73232194,-73.9550858
1267,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
1294,341,Stanton St & Mangin St,40.71782143,-73.97628939
1317,534,Water - Whitehall Plaza,40.70255065,-74.0127234
1330,460,S 4 St & Wythe Ave,40.71285887,-73.96590294
1336,362,Broadway & W 37 St,40.75172632,-73.98753523
1350,522,E 51 St & Lexington Ave,40.75714758,-73.97207836
1370,157,Henry St & Atlantic Ave,40.69089272,-73.99612349
1375,342,Columbia St & Rivington St,40.71739973,-73.98016555
1376,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
1411,3098,Leonard St & Bayard St,40.71928,-73.94861
1419,262,Washington Park,40.6917823,-73.97372990000001
1422,427,Bus Slip & State St,40.701907,-74.013942
1439,167,E 39 St & 3 Ave,40.7489006,-73.97604882
1491,471,Grand St & Havemeyer St,40.71286844,-73.95698119
1512,513,W 56 St & 10 Ave,40.768254,-73.988639
1530,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
1554,289,Monroe St & Classon Ave,40.684568299999995,-73.95881081
1556,516,E 47 St & 1 Ave,40.75206862,-73.96784384
1567,3104,Kent Ave & N 7 St,40.72057658,-73.96150225
1571,3068,Humboldt St & Varet St,40.7031724,-73.940636
1576,247,Perry St & Bleecker St,40.73535398,-74.00483091
1619,419,Carlton Ave & Park Ave,40.69580705,-73.97355569
1656,119,Park Ave & St Edwards St,40.69608941,-73.97803415
1657,406,Hicks St & Montague St,40.69512845,-73.99595065
1672,375,Mercer St & Bleecker St,40.72679454,-73.99695094
1712,3124,46 Ave & 5 St,40.74731,-73.95451
1713,275,Washington Ave & Greene Ave,40.68650065,-73.96563307
1725,3072,Leonard St & Boerum St,40.70583339,-73.94644578
1788,2010,Grand St & Greene St,40.72165481,-74.00234737
1819,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304
1823,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717
1827,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712
1835,79,Franklin St & W Broadway,40.71911552,-74.00666661
1852,501,FDR Drive & E 35 St,40.744219,-73.97121214
1901,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
1971,310,State St & Smith St,40.68926942,-73.98912867
2040,3125,45 Rd & 11 St,40.74708586,-73.94977234
2117,330,Reade St & Broadway,40.71450451,-74.00562789
2147,337,Old Slip & Front St,40.703799200000006,-74.00838676
2161,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366
2171,260,Broad St & Bridge St,40.70365182,-74.01167797
2203,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
